Fecha del HC,Turno,Crcy,Fecha Nacimiento,Edad,Genero,Estado Civil,Hijos,Fecha de ingreso,Antigüedad,Lugar de nacimiento,Escolaridad
2/26/2019,TURNO 04,MXN,8/8/1976,42.6,Female,Marr.,5,7/15/2013,5.6,CD JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,5/13/1970,48.8,Female,Single,3,8/21/2013,5.5,"GOMEZ PALACIO, DURANGO",Bachillerato generál
2/26/2019,TURNO 01,MXN,8/25/1989,29.5,Male,SigOth,3,8/21/2013,5.5,CD JUAREZ,Universidad
2/26/2019,TURNO 02,MXN,6/21/1990,28.7,Male,Marr.,1,8/28/2013,5.5,"CD. JUAREZ, CHIH",Bachillerato generál
2/26/2019,TURNO 01,MXN,3/21/1994,25,Male,Single,0,10/30/2013,5.3,SANTA URSULA,Bachillerato generál
2/26/2019,ADMINIST,MXN,3/1/1994,25,Male,Single,0,4/23/2014,4.8,JUAREZ,Universidad
2/26/2019,ADMINIST,MXN,1/13/1979,40.1,Male,Marr.,1,6/11/2014,4.7,JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,6/29/1995,23.7,Male,SigOth,1,10/27/2014,4.3,CD. JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,9/25/1975,43.5,Female,Single,4,11/5/2014,4.3,OBREGON,Bachillerato generál
2/26/2019,TURNO 01,MXN,4/12/1993,25.9,Female,Single,1,12/10/2014,4.2,JUAREZ,Bachillerato generál
2/26/2019,TURNO 03,MXN,10/17/1989,29.4,Male,Single,0,1/21/2015,4.1,JUAREZ,Secundaria
2/26/2019,ADMINIST,MXN,11/16/1988,30.3,Male,SigOth,1,3/18/2015,3.9,ACAYUCAN,Universidad
2/26/2019,TURNO 02,MXN,9/25/1996,22.4,Male,SigOth,2,5/11/2015,3.8,JUAREZ,Secundaria
2/26/2019,TURNO 03,MXN,12/24/1994,24.2,Male,Single,0,5/27/2015,3.8,CORDOBA,Universidad
2/26/2019,TURNO 01,MXN,7/31/1996,22.6,Female,Single,1,6/3/2015,3.7,ESCALON,Bachillerato generál
2/26/2019,TURNO 04,MXN,1/30/1994,25.1,Male,Single,1,7/8/2015,3.6,JUAREZ,Universidad
2/26/2019,TURNO 02,MXN,6/7/1963,55.8,Male,SigOth,0,7/15/2015,3.6,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,8/23/1996,22.5,Female,Single,1,9/2/2015,3.5,JUAREZ,Universidad
2/26/2019,TURNO 05,MXN,6/18/1979,39.7,Female,Single,4,9/16/2015,3.4,JUAREZ,Secundaria
2/26/2019,TURNO 03,MXN,7/16/1994,24.6,Male,Single,0,3/16/2016,3,COYUCA DE BENITEZ,Bachillerato generál
2/26/2019,ADMINIST,MXN,8/14/1988,30.6,Male,Single,0,6/1/2016,2.7,CD. JUAREZ,Universidad
2/26/2019,TURNO 01,MXN,9/21/1992,26.4,Female,Single,0,6/8/2016,2.7,DELICIAS,Bachillerato generál
2/26/2019,TURNO 02,MXN,11/10/1994,24.3,Male,Single,0,10/26/2016,2.3,CONGREGACION MEDIAS AGUAS,Secundaria
2/26/2019,TURNO 01,MXN,1/8/1998,21.1,Male,Single,0,11/2/2016,2.3,VERACRUZ,Secundaria
2/26/2019,TURNO 03,MXN,5/17/1990,28.8,Female,Marr.,1,11/2/2016,2.3,ECATEPEC DE MORELOS,Bachillerato generál
2/26/2019,TURNO 04,MXN,12/14/1997,21.2,Male,Single,1,11/2/2016,2.3,JUAREZ,Bachillerato generál
2/26/2019,ADMINIST,MXN,8/16/1992,26.5,Male,Marr.,1,11/16/2016,2.3,VERACRUZ,Universidad
2/26/2019,TURNO 01,MXN,3/26/1994,24.9,Male,Single,0,2/1/2018,1.1,CHIHUAHUA,Universidad
2/26/2019,ADMINIST,MXN,5/17/1992,26.8,Male,Single,0,2/1/2018,1.1,CHIHUAHUA,Carrera técnica
2/26/2019,TURNO 05,MXN,3/22/1997,21.9,Male,Marr.,0,2/1/2018,1.1,CHIHUAHUA,Universidad
2/26/2019,TURNO 04,MXN,5/13/1996,22.8,Male,Single,0,2/1/2018,1.1,CHIHUAHUA,Universidad
2/26/2019,TURNO 02,MXN,9/10/1997,21.5,Male,Single,0,2/1/2018,1.1,PUEBLA,Carrera técnica
2/26/2019,TURNO 01,MXN,2/4/1999,20.1,Male,Single,0,2/1/2018,1.1,PUEBLA,Universidad
2/26/2019,TURNO 04,MXN,1/29/1999,20.1,Female,Single,0,2/1/2018,1.1,PUEBLA,Universidad
2/26/2019,TURNO 01,MXN,5/3/1999,19.8,Male,Single,0,2/1/2018,1.1,PUEBLA,Universidad
2/26/2019,TURNO 01,MXN,5/22/1998,20.8,Male,Single,0,2/1/2018,1.1,PUEBLA,Bachillerato generál
2/26/2019,TURNO 01,MXN,9/9/1998,20.5,Female,Single,0,2/1/2018,1.1,PUEBLA,Bachillerato generál
2/26/2019,TURNO 02,MXN,11/11/1991,27.3,Male,Single,0,2/1/2018,1.1,CHIHUAHUA,Universidad
2/26/2019,TURNO 01,MXN,10/18/1996,22.4,Male,Single,0,2/1/2018,1.1,PUEBLA,Bachillerato generál
2/26/2019,TURNO 02,MXN,12/12/1959,59.2,Male,Single,3,2/1/2018,1.1,CHIHUAHUA,Bachillerato generál
2/26/2019,TURNO 01,MXN,9/30/1994,24.4,Male,Single,0,2/5/2018,1.1,CHIHUAHUA,Universidad
2/26/2019,TURNO 01,MXN,10/24/1989,29.4,Male,SigOth,0,2/8/2018,1,JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,3/24/1975,44,Male,SigOth,0,2/8/2018,1,JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,9/1/1982,36.5,Male,Marr.,1,2/8/2018,1,VERACRUZ,Universidad
2/26/2019,ADMINIST,MXN,7/26/1995,23.6,Female,Single,0,2/5/2018,1.1,ATLANTA,Universidad
2/26/2019,TURNO 03,MXN,2/22/1994,25,Male,Marr.,2,2/15/2018,1,CHIHUAHUA,Secundaria
2/26/2019,TURNO 01,MXN,6/19/1989,29.7,Male,Marr.,2,2/15/2018,1,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,12/7/1995,23.2,Male,Single,0,2/15/2018,1,JUAREZ,Universidad
2/26/2019,TURNO 03,MXN,1/22/1977,42.1,Male,Marr.,2,2/15/2018,1,VERACRUZ,Secundaria
2/26/2019,ADMINIST,MXN,3/14/1982,37,Male,Marr.,3,2/22/2018,1,DISTRITO FEDERAL,Universidad
2/26/2019,ADMINIST,MXN,2/6/1995,24.1,Male,Single,0,2/22/2018,1,COAHUILA,Universidad
2/26/2019,TURNO 01,MXN,7/30/1995,23.6,Male,Single,0,2/22/2018,1,CHIHUAHUA,Universidad
2/26/2019,TURNO 04,MXN,6/11/1969,49.7,Male,Marr.,6,2/22/2018,1,DURANGO,Secundaria
2/26/2019,TURNO 02,MXN,7/25/1976,42.6,Female,Div.,4,3/1/2018,1,COAHUILA,Bachillerato generál
2/26/2019,TURNO 04,MXN,4/30/1991,27.8,Female,Marr.,2,3/1/2018,1,CHIHUAHUA,Bachillerato generál
2/26/2019,TURNO 05,MXN,12/3/1991,27.3,Male,Marr.,0,3/1/2018,1,CHIHUAHUA,Universidad
2/26/2019,TURNO 02,MXN,5/6/1994,24.8,Male,Single,0,3/1/2018,1,CHIHUAHUA,Bachillerato generál
2/26/2019,TURNO 01,MXN,4/10/1996,22.9,Female,Single,0,3/1/2018,1,CHIHUAHUA,Universidad
2/26/2019,TURNO 03,MXN,7/10/1975,43.7,Male,Marr.,4,3/8/2018,1,GOMEZ PALACIO,Carrera técnica
2/26/2019,TURNO 01,MXN,2/9/1984,35.1,Male,Marr.,1,3/15/2018,1,DURANGO,
2/26/2019,TURNO 01,MXN,1/23/1979,40.1,Male,SigOth,4,3/22/2018,0.9,JUAREZ,
2/26/2019,TURNO 02,MXN,10/17/1995,23.4,Male,Single,1,3/22/2018,0.9,JUAREZ,Universidad
2/26/2019,TURNO 05,MXN,11/14/1996,22.3,Female,Single,0,3/22/2018,0.9,VERACRUZ,Universidad
2/26/2019,TURNO 05,MXN,3/3/1996,23,Male,Single,0,3/22/2018,0.9,JUAREZ,Universidad
2/26/2019,TURNO 01,MXN,10/4/1980,38.4,Male,Div.,2,3/22/2018,0.9,VERACRUZ,Universidad
2/26/2019,ADMINIST,MXN,10/9/1989,29.4,Female,Div.,2,4/5/2018,0.9,CHIHUAHUA,Bachillerato generál
2/26/2019,TURNO 01,MXN,8/13/1996,22.6,Male,,0,4/5/2018,0.9,DURANGO,Universidad
2/26/2019,TURNO 02,MXN,2/8/1979,40.1,Male,Marr.,3,4/12/2018,0.9,VERACRUZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,5/5/1965,53.8,Male,Marr.,2,4/12/2018,0.9,ZACATECAS,Bachillerato generál
2/26/2019,ADMINIST,MXN,12/10/1991,27.2,Female,Single,0,4/12/2018,0.9,JUAREZ,Universidad
2/26/2019,TURNO 01,MXN,4/13/1990,28.9,Male,SigOth,3,4/12/2018,0.9,VERACRUZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,12/5/1988,30.2,Female,Single,0,4/23/2018,0.8,DISTRITO FEDERAL,Universidad
2/26/2019,TURNO 01,MXN,6/27/1996,22.7,Male,Single,0,5/3/2018,0.8,CHIHUAHUA,Universidad
2/26/2019,TURNO 04,MXN,12/17/1985,33.2,Male,Marr.,3,5/10/2018,0.8,SAN AGUSTIN DEL PALMAR,Universidad
2/26/2019,TURNO 01,MXN,2/17/1988,31,Male,Marr.,1,5/10/2018,0.8,JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,3/29/1996,22.9,Male,Single,0,5/10/2018,0.8,JUAREZ,Universidad
2/26/2019,TURNO 03,MXN,2/26/1980,39,Female,Marr.,2,5/10/2018,0.8,SOLEDAD DE DOBLADO,Bachillerato generál
2/26/2019,ADMINIST,MXN,12/22/1993,25.2,Female,Single,0,5/10/2018,0.8,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,6/28/1999,19.7,Male,Single,0,5/10/2018,0.8,JUAREZ,Carrera técnica
2/26/2019,TURNO 05,MXN,6/25/1966,52.7,Female,Single,0,5/10/2018,0.8,CANATLAN,Carrera técnica
2/26/2019,TURNO 04,MXN,10/25/1997,21.4,Female,Single,0,5/17/2018,0.8,DURANGO,Secundaria
2/26/2019,TURNO 02,MXN,7/31/1994,24.6,Male,Single,0,5/17/2018,0.8,CHIHUAHUA,Secundaria
2/26/2019,TURNO 01,MXN,2/7/1973,46.1,Male,SigOth,1,5/24/2018,0.8,JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,9/14/1993,25.5,Male,Single,0,5/24/2018,0.8,TEXCOCO,Bachillerato generál
2/26/2019,TURNO 03,MXN,6/6/1975,43.8,Male,Marr.,1,5/24/2018,0.8,LA CONCEPCION,Bachillerato generál
2/26/2019,TURNO 01,MXN,8/27/1988,30.5,Male,Single,0,5/24/2018,0.8,JUAREZ,Universidad
2/26/2019,ADMINIST,MXN,3/31/1994,24.9,Male,Single,0,5/24/2018,0.8,JUAREZ,Universidad
2/26/2019,TURNO 02,MXN,3/27/1970,49,Male,Marr.,3,5/21/2018,0.8,VERACRUZ,Bachillerato generál
2/26/2019,TURNO 03,MXN,10/16/1976,42.4,Male,Marr.,2,5/31/2018,0.7,SINALOA,Carrera técnica
2/26/2019,TURNO 01,MXN,8/29/1986,32.5,Male,SigOth,3,5/31/2018,0.7,COAHUILA,Universidad
2/26/2019,ADMINIST,MXN,7/9/1992,26.7,Female,Single,0,5/31/2018,0.7,JUAREZ,Universidad
2/26/2019,TURNO 01,MXN,12/19/1995,23.2,Male,Single,0,6/7/2018,0.7,CHIHUAHUA,Universidad
2/26/2019,TURNO 02,MXN,9/20/1984,34.5,Male,Marr.,2,6/14/2018,0.7,JUAREZ,Universidad
2/26/2019,TURNO 02,MXN,8/25/1994,24.5,Male,Marr.,1,6/14/2018,0.7,JUAREZ,Universidad
2/26/2019,TURNO 03,MXN,4/10/1991,27.9,Male,Marr.,1,6/14/2018,0.7,JUAREZ,Universidad
2/26/2019,TURNO 05,MXN,9/20/1999,19.4,Male,Single,0,6/28/2018,0.7,JUAREZ,Universidad
2/26/2019,TURNO 01,MXN,8/27/1993,25.5,Male,Single,1,7/5/2018,0.6,JUAREZ,Bachillerato generál
2/26/2019,ADMINIST,MXN,9/14/1994,24.5,Male,Single,0,7/12/2018,0.6,JUAREZ,Universidad
2/26/2019,ADMINIST,MXN,8/12/1996,22.6,Female,Single,0,7/12/2018,0.6,GUERRERO,Bachillerato generál
2/26/2019,ADMINIST,MXN,11/3/1991,27.3,Male,Single,0,7/12/2018,0.6,JUAREZ,Universidad
2/26/2019,TURNO 02,MXN,3/9/1987,32,Male,Marr.,3,7/19/2018,0.6,VERACRUZ,Secundaria
2/26/2019,TURNO 01,MXN,1/14/2000,19.1,Male,Single,0,8/9/2018,0.6,JUAREZ,Carrera técnica
2/26/2019,TURNO 03,MXN,3/25/1998,20.9,Male,Single,1,8/9/2018,0.6,JUAREZ,Carrera técnica
2/26/2019,TURNO 03,MXN,1/13/1991,28.1,Male,Single,1,9/1/2018,0.5,JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,7/20/1997,21.6,Male,Single,0,8/30/2018,0.5,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,10/22/1997,21.4,Male,Single,0,8/30/2018,0.5,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,7/25/1997,21.6,Female,Single,1,8/30/2018,0.5,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,2/18/1996,23,Male,Single,0,8/30/2018,0.5,JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,8/2/1997,21.6,Male,Single,0,8/30/2018,0.5,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,9/4/1997,21.5,Male,Single,0,8/30/2018,0.5,JUAREZ,Carrera técnica
2/26/2019,TURNO 03,MXN,12/14/1996,22.2,Male,Single,0,8/30/2018,0.5,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,4/25/1997,21.9,Male,Single,0,8/30/2018,0.5,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,2/24/1997,22,Male,,0,8/30/2018,0.5,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,12/21/1996,22.2,Male,Single,0,8/30/2018,0.5,JUAREZ,Universidad
2/26/2019,TURNO 01,MXN,11/25/1993,25.3,Female,SigOth,0,8/30/2018,0.5,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,11/28/1997,21.3,Male,Single,0,8/30/2018,0.5,JUAREZ,Universidad
2/26/2019,TURNO 01,MXN,12/21/1995,23.2,Male,Single,0,8/30/2018,0.5,CHIHUAHUA,Universidad
2/26/2019,TURNO 01,MXN,1/27/1996,23.1,Male,Single,0,8/30/2018,0.5,JUAREZ,Universidad
2/26/2019,TURNO 01,MXN,11/29/1996,22.3,Male,Single,0,8/30/2018,0.5,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,3/24/1997,21.9,Male,Single,0,8/30/2018,0.5,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,12/9/1999,19.2,Female,Single,0,8/30/2018,0.5,JUAREZ,
2/26/2019,TURNO 02,MXN,5/19/1999,19.8,Female,Single,0,9/6/2018,0.5,VERACRUZ,Carrera técnica
2/26/2019,ADMINIST,MXN,3/4/1995,24,Male,Single,0,9/6/2018,0.5,JUAREZ,Universidad
2/26/2019,ADMINIST,MXN,4/23/1996,22.9,Male,Single,1,9/6/2018,0.5,JUAREZ,Universidad
2/26/2019,TURNO 02,MXN,10/5/1984,34.4,Male,Marr.,3,9/6/2018,0.5,JUANACATLAN,Carrera técnica
2/26/2019,TURNO 05,MXN,10/13/1994,24.4,Male,Single,0,9/13/2018,0.5,CHIHUAHUA,Bachillerato generál
2/26/2019,TURNO 04,MXN,10/13/1999,19.4,Male,Single,0,9/13/2018,0.5,CHIHUAHUA,Carrera técnica
2/26/2019,TURNO 01,MXN,2/1/1995,24.1,Female,Single,0,9/13/2018,0.5,CHIHUAHUA,Carrera técnica
2/26/2019,TURNO 05,MXN,8/28/1995,23.5,Male,Marr.,1,9/13/2018,0.5,CHIHUAHUA,Carrera técnica
2/26/2019,TURNO 01,MXN,5/31/1996,22.8,Female,Single,0,9/13/2018,0.5,DURANGO,Universidad
2/26/2019,TURNO 02,MXN,2/8/1979,40.1,Male,Marr.,3,9/20/2018,0.4,CHIHUAHUA,Secundaria
2/26/2019,ADMINIST,MXN,10/7/1996,22.4,Male,Single,0,10/25/2018,0.3,JUAREZ,Carrera técnica
2/26/2019,ADMINIST,MXN,5/15/1995,23.8,Female,Single,0,11/29/2018,0.2,JUAREZ,Bachillerato generál
2/26/2019,ADMINIST,MXN,3/17/1997,22,Female,Single,0,11/29/2018,0.2,SINALOA,Universidad
2/26/2019,TURNO 01,MXN,7/19/1996,22.6,Female,Single,0,12/6/2018,0.2,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,12/28/1982,36.2,Male,Single,0,12/13/2018,0.2,DELICIAS,Bachillerato generál
2/26/2019,ADMINIST,MXN,6/30/1995,23.7,Male,,0,12/20/2018,0.2,DURANGO,Bachillerato generál
2/26/2019,TURNO 01,MXN,1/8/1997,22.1,Female,Single,0,12/20/2018,0.2,JUAREZ,Universidad
2/26/2019,ADMINIST,MXN,12/20/1996,22.2,Female,Single,0,12/20/2018,0.2,JUAREZ,Universidad
2/26/2019,ADMINIST,MXN,2/9/1996,23.1,Male,Single,0,1/3/2019,0.1,JUAREZ,Bachillerato generál
2/26/2019,TURNO 04,MXN,4/2/2000,18.9,Male,,0,1/17/2019,0.1,JUAREZ,Bachillerato generál
2/26/2019,ADMINIST,MXN,8/25/1995,23.5,Male,Single,0,1/17/2019,0.1,JUAREZ,Universidad
2/26/2019,TURNO 01,MXN,5/5/1998,20.8,Male,Single,0,1/17/2019,0.1,JUAREZ,Carrera técnica
2/26/2019,TURNO 02,MXN,12/25/1999,19.2,Male,Single,0,1/14/2019,0.1,JUAREZ,Carrera técnica
2/26/2019,TURNO 05,MXN,9/28/1997,21.4,Female,Single,0,1/24/2019,0.1,DURANGO,Bachillerato generál
2/26/2019,TURNO 01,MXN,9/29/1995,23.4,Male,Single,1,1/24/2019,0.1,JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,5/20/1998,20.8,Male,Single,0,1/24/2019,0.1,JUAREZ,Carrera técnica
2/26/2019,ADMINIST,MXN,1/2/1996,23.2,Male,Single,0,1/24/2019,0.1,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,7/10/1994,24.6,Female,Single,0,1/31/2019,0.1,JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,4/23/1996,22.9,Male,Single,0,1/31/2019,0.1,JUAREZ,Carrera técnica
2/26/2019,ADMINIST,MXN,1/31/1985,34.1,Male,Single,0,1/31/2019,0.1,CHIHUAHUA,Universidad
2/26/2019,TURNO 03,MXN,11/18/1992,26.3,Male,Marr.,2,1/31/2019,0.1,JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,7/30/1989,29.6,Male,Single,1,1/31/2019,0.1,JUAREZ,Carrera técnica
2/26/2019,TURNO 04,MXN,10/24/2000,18.4,Male,Single,0,1/31/2019,0.1,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,1/5/1996,23.2,Female,Single,0,1/31/2019,0.1,JUAREZ,Bachillerato generál
2/26/2019,TURNO 03,MXN,6/8/1989,29.7,Male,Marr.,2,2/14/2019,0,DELICIAS,Bachillerato generál
2/26/2019,TURNO 01,MXN,1/5/2000,19.2,Male,Single,0,2/14/2019,0,JUAREZ,Carrera técnica
2/26/2019,TURNO 04,MXN,5/14/1968,50.8,Male,Div.,2,2/14/2019,0,CHIHUAHUA,Bachillerato generál
2/26/2019,ADMINIST,MXN,9/28/1996,22.4,Male,Single,0,2/14/2019,0,DELICIAS,Universidad
2/26/2019,TURNO 01,MXN,7/8/1975,43.7,Male,SigOth,1,2/21/2019,0,TORREON,Carrera técnica
2/26/2019,ADMINIST,MXN,11/4/1994,24.3,Male,Marr.,1,2/21/2019,0,JUAREZ,Carrera técnica
2/26/2019,ADMINIST,MXN,12/14/1996,22.2,Female,Single,0,2/21/2019,0,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,3/3/1987,32,Male,Marr.,0,2/25/2019,0,JUAREZ,Bachillerato generál
2/26/2019,TURNO 02,MXN,4/21/1998,20.9,Male,Single,0,2/25/2019,0,MINATITLAN,Bachillerato generál
2/26/2019,ADMINIST,MXN,8/9/1995,23.6,Female,Single,0,2/25/2019,0,JUAREZ,Carrera técnica
2/26/2019,TURNO 02,MXN,11/13/1964,54.3,Male,SigOth,2,9/21/2017,1.4,CHIHUAHUA,
2/26/2019,TURNO 03,MXN,9/24/1995,23.4,Male,Single,0,9/21/2017,1.4,DISTRITO FEDERAL,Secundaria
2/26/2019,TURNO 03,MXN,5/3/1996,22.8,Male,Single,0,9/21/2017,1.4,GUANAJUATIO,Secundaria
2/26/2019,TURNO 02,MXN,9/4/1970,48.5,Male,Marr.,3,9/21/2017,1.4,DURANGO,Carrera técnica
2/26/2019,TURNO 01,MXN,3/11/1999,20,Male,Single,0,9/28/2017,1.4,JUAREZ,Secundaria
2/26/2019,TURNO 03,MXN,8/10/1976,42.6,Male,Marr.,2,9/28/2017,1.4,NAZAS,Carrera técnica
2/26/2019,TURNO 01,MXN,7/2/1968,50.7,Male,Marr.,4,9/28/2017,1.4,CAMARGO,
2/26/2019,TURNO 02,MXN,5/17/1996,22.8,Male,Single,0,9/28/2017,1.4,VERACRUZ,Universidad
2/26/2019,TURNO 01,MXN,6/25/1994,24.7,Male,Single,0,9/28/2017,1.4,CUAUHTEMOC,Universidad
2/26/2019,TURNO 03,MXN,9/20/1985,33.5,Male,Marr.,0,9/28/2017,1.4,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,4/4/1999,19.9,Male,Single,0,10/5/2017,1.4,JUAREZ,Bachillerato generál
2/26/2019,TURNO 02,MXN,10/7/1998,20.4,Male,Single,0,10/5/2017,1.4,ORIZABA,Universidad
2/26/2019,TURNO 04,MXN,9/1/1988,30.5,Male,Marr.,1,10/5/2017,1.4,TUXTEPEC,Bachillerato generál
2/26/2019,TURNO 02,MXN,2/7/1996,23.1,Male,Single,0,10/5/2017,1.4,JUAREZ,Carrera técnica
2/26/2019,ADMINIST,MXN,3/18/1994,25,Female,Single,0,10/5/2017,1.4,JUAREZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,9/14/1989,29.5,Male,Marr.,0,10/5/2017,1.4,DURANGO,Universidad
2/26/2019,TURNO 02,MXN,3/10/1985,34,Male,Single,1,10/12/2017,1.4,DURANGO,Secundaria
2/26/2019,ADMINIST,MXN,1/17/1996,23.1,Male,Single,0,10/12/2017,1.4,JUAREZ,Universidad
2/26/2019,ADMINIST,MXN,3/10/1995,24,Male,Single,0,10/19/2017,1.4,JUAREZ,Carrera técnica
2/26/2019,TURNO 03,MXN,5/12/1988,30.8,Male,Marr.,2,10/19/2017,1.4,VERACRUZ,Bachillerato generál
2/26/2019,TURNO 04,MXN,1/14/1993,26.1,Male,Marr.,1,10/19/2017,1.4,JUAREZ,Carrera técnica
2/26/2019,TURNO 04,MXN,6/9/1990,28.7,Male,Marr.,0,10/19/2017,1.4,JUAREZ,Carrera técnica
2/26/2019,TURNO 01,MXN,12/3/1969,49.3,Male,Marr.,4,10/19/2017,1.4,GUANAJUATO,Carrera técnica
2/26/2019,ADMINIST,MXN,1/8/1990,29.2,Female,Single,0,10/19/2017,1.4,POANAS,Bachillerato generál
2/26/2019,TURNO 04,MXN,7/2/1996,22.7,Male,Single,0,10/19/2017,1.4,VERACRUZ,Universidad
2/26/2019,TURNO 01,MXN,2/23/1977,42,Male,Marr.,2,10/26/2017,1.3,OAXACA,
